2024,,Time,Height,H/L
,26,00:45,2.7 m,H
,,06:18,1.2 m,L
,,12:13,3.0 m,H
,,18:54,0.5 m,L
,27,00:58,2.8 m,H
,,06:48,1.0 m,L
,,12:43,3.0 m,H
,,19:22,0.6 m,L
,28,01:16,2.8 m,H
,,07:18,0.9 m,L
,,13:15,3.0 m,H
,,19:46,0.8 m,L
,29,01:35,2.8 m,H
,,07:46,0.9 m,L
,,13:46,2.8 m,H
,,20:01,0.9 m,L
Mar,1,01:56,2.8 m,H
,,08:15,0.9 m,L
,,14:22,2.7 m,H
,,20:15,1.1 m,L
,2,02:18,2.8 m,H
,,08:46,0.9 m,L
,,15:03,2.4 m,H
,,20:35,1.3 m,L
,3,02:46,2.8 m,H
,,09:31,0.9 m,L
,,16:03,2.2 m,H
,,21:03,1.5 m,L
,4,03:22,2.7 m,H
,,10:46,1.0 m,L
,,17:50,2.0 m,H
,,21:48,1.8 m,L
,5,04:15,2.5 m,H
,,12:26,0.9 m,L
,,21:01,2.1 m,H
,6,00:09,2.0 m,H
,,05:43,2.4 m,H
,,13:54,0.8 m,L
,,22:01,2.3 m,H
,7,02:28,1.9 m,L
,,08:07,2.5 m,H
,,15:07,0.6 m,L
,,22:41,2.5 m,H
,8,03:43,1.7 m,L
,,09:20,2.7 m,H
,,16:03,0.4 m,L
,,23:13,2.7 m,H
,9,04:28,1.5 m,L
,,10:11,3.0 m,H
,,16:52,0.3 m,L
,,23:39,2.8 m,H
,10,05:07,1.2 m,L
,,10:56,3.2 m,H
,,17:37,0.2 m,L
,11,00:00,2.9 m,H
,,05:48,1.0 m,L
,,11:41,3.4 m,H
,,18:22,0.3 m,L
,12,00:24,3.0 m,H
,,06:30,0.7 m,L
,,12:28,3.4 m,H
,,19:05,0.4 m,L
,13,00:52,3.0 m,H
,,07:11,0.5 m,L
,,13:18,3.3 m,H
,,19:45,0.7 m,L
,14,01:22,3.0 m,H
,,07:52,0.4 m,L
,,14:15,3.1 m,H
,,20:22,1.0 m,L
,15,01:52,3.0 m,H
,,08:33,0.4 m,L
,,15:13,2.8 m,H
,,20:54,1.3 m,L
,16,02:22,2.9 m,H
,,09:20,0.5 m,L
,,16:15,2.5 m,H
,,21:22,1.6 m,L
,17,02:56,2.8 m,H
,,10:16,0.6 m,L
,,17:33,2.2 m,H
,,21:54,1.9 m,L
,18,03:35,2.6 m,H
,,11:37,0.8 m,L
,,20:18,2.1 m,H
,,23:03,2.1 m,H
,19,04:37,2.4 m,H
,,13:18,0.9 m,L
,,21:54,2.3 m,H
,20,02:37,2.1 m,H
,,07:22,2.2 m,H
,,15:00,0.8 m,L
,,22:31,2.4 m,H
,21,03:54,1.8 m,L
,,09:05,2.4 m,H
,,15:56,0.7 m,L
,,23:00,2.5 m,H
,22,04:22,1.6 m,L
,,09:56,2.6 m,H
,,16:31,0.6 m,L
,,23:18,2.5 m,H
,23,04:43,1.4 m,L
,,10:31,2.7 m,H
,,17:00,0.6 m,L
,,23:31,2.6 m,H
,24,05:01,1.2 m,L
,,11:01,2.8 m,H
,,17:28,0.6 m,L
,,23:41,2.6 m,H
,25,05:28,1.0 m,L
,,11:30,2.9 m,H
,,17:58,0.6 m,L
,,23:50,2.7 m,H
,26,05:56,0.8 m,L
,,11:58,2.9 m,H
,,18:28,0.7 m,L
,27,00:05,2.8 m,H
,,06:24,0.7 m,L
,,12:30,2.9 m,H
,,18:54,0.8 m,L
,28,00:26,2.9 m,H
,,06:52,0.6 m,L
,,13:03,2.8 m,H
,,19:15,1.0 m,L
,29,00:48,2.9 m,H
,,07:18,0.6 m,L
,,13:37,2.7 m,H
,,19:30,1.1 m,L
,30,01:13,2.9 m,H
,,07:43,0.5 m,L
,,14:15,2.6 m,H
,,19:46,1.3 m,L
,31,01:41,2.9 m,H
,,08:16,0.5 m,L
,,15:01,2.4 m,H
,,20:11,1.4 m,L
