2023,Jan,Sun,,Moon,,,Tide,,,,2023,Feb,Sun,,Moon,,,Tide,,,,2023,Mar,Sun,,Moon,,,Tide,,,,2023,Apr,Sun,,Moon,,,Tide,,,,2023,May,Sun,,Moon,,,Tide,,,,2023,Jun,Sun,,Moon,,,Tide,,,,2023,Jul,Sun,,Moon,,,Tide,,,,2023,Aug,Sun,,Moon,,,Tide,,,,2023,Sep,Sun,,Moon,,,Tide,,,,2023,Oct,Sun,,Moon,,,Tide,,,,2023,Nov,Sun,,Moon,,,Tide,,,,2023,Dec,Sun,,Moon,,,Tide,,
,,,,,,,08:09,2.7 m,H,,,,,,,,,09:37,2.6 m,H,,,,,,,,,15:30,0.8 m,L,,,,,,,,,09:56,2.5 m,H,,,,,,,,,09:58,2.5 m,H,,,,,,,,,11:09,2.5 m,H,,,,,,,,,12:00,2.5 m,H,,,,,,,,,13:11,2.7 m,H,,,,,,,,,13:22,2.8 m,H,,,,,,,,,13:03,3.0 m,H,,,,,,,,,08:09,1.7 m,L,,,,,,,,,08:28,1.8 m,L
,,,,,,,15:18,0.9 m,L,,,,,,,,,16:28,0.6 m,L,,,,,,,,,23:09,2.4 m,H,,,,,,,,,16:24,0.7 m,L,,,,,,,,,16:15,0.8 m,L,,,,,,,,,16:30,1.2 m,L,,,,,,,,,16:48,1.4 m,L,,,,,,,,,18:24,1.1 m,L,,,,,,,,,19:33,0.5 m,L,,,,,,,,,19:41,0.3 m,L,,,,,,,,,13:33,2.9 m,H,,,,,,,,,14:01,2.8 m,H
,,,,,,,22:28,2.5 m,H,,,,,,,,,23:52,2.6 m,H,,,4,7.14 am,7.20 pm,5.06 pm,4.47 am,0.87,04:07,1.8 m,L,,,,,,,,,22:58,2.5 m,H,,,,,,,,,22:11,2.6 m,H,,,,,,,,,22:16,2.9 m,H,,,,,,,,,22:37,2.9 m,H,,,4,7.06 am,7.16 pm,9.49 pm,9.21 am,0.94,00:09,3.2 m,H,,,4,7.00 am,7.08 pm,10.53 pm,10.30 am,0.82,01:39,3.1 m,H,,,4,6.51 am,6.57 pm,11.20 pm,10.57 am,0.78,02:31,2.8 m,H,,,,,,,,,20:39,0.6 m,L,,,,,,,,,21:03,0.8 m,L
,4,7.08 am,7.11 pm,5.03 pm,4.43 am,0.9,03:26,1.8 m,L,,,4,7.17 am,7.21 pm,6.22 pm,6.02 am,0.96,04:39,1.8 m,L,,,,,,,,,09:35,2.4 m,H,,,4,7.04 am,7.12 pm,5.58 pm,5.38 am,0.94,04:31,1.2 m,L,,,4,6.57 am,7.07 pm,6.02 pm,5.37 am,0.95,04:26,0.8 m,L,,,4,6.58 am,7.09 pm,7.24 pm,6.46 am,1,04:48,0.2 m,L,,,4,7.04 am,7.15 pm,8.19 pm,7.39 am,1,05:15,0.0 m,L,,,,,,,,,06:58,0.1 m,L,,,,,,,,,08:07,0.5 m,L,,,,,,,,,08:11,1.2 m,L,,,4,6.47 am,6.51 pm,NIL,12.22 pm,0.66,04:01,2.4 m,H,,,4,6.54 am,6.57 pm,12.07 am,12.31 pm,0.65,04:20,2.5 m,H
,,,,,,,08:58,2.8 m,H,,,,,,,,,10:20,2.8 m,H,,,,,,,,,16:16,0.7 m,L,,,,,,,,,10:28,2.6 m,H,,,,,,,,,10:35,2.6 m,H,,,,,,,,,12:00,2.6 m,H,,,,,,,,,12:48,2.6 m,H,,,,,,,,,13:48,2.7 m,H,,,,,,,,,13:52,2.8 m,H,,,,,,,,,13:33,2.9 m,H,,,,,,,,,08:43,1.8 m,L,,,,,,,,,09:09,1.9 m,L
,,,,,,,16:01,0.7 m,L,,,,,,,,,17:01,0.6 m,L,,,,,,,,,23:30,2.5 m,H,,,,,,,,,16:56,0.6 m,L,,,,,,,,,16:43,0.8 m,L,,,,,,,,,17:09,1.3 m,L,,,,,,,,,17:41,1.4 m,L,,,,,,,,,19:11,1.0 m,L,,,,,,,,,20:15,0.4 m,L,,,,,,,,,20:22,0.3 m,L,,,,,,,,,14:09,2.7 m,H,,,,,,,,,14:43,2.7 m,H
,,,,,,,23:16,2.6 m,H,,,5,7.17 am,7.21 pm,7.10 pm,6.51 am,0.99,00:18,2.6 m,H,,,5,7.14 am,7.19 pm,5.53 pm,5.33 am,0.92,04:31,1.6 m,L,,,,,,,,,23:11,2.6 m,H,,,,,,,,,22:30,2.7 m,H,,,,,,,,,22:54,3.0 m,H,,,,,,,,,23:26,3.0 m,H,,,5,7.06 am,7.16 pm,10.38 pm,10.12 am,0.88,00:58,3.2 m,H,,,5,7.00 am,7.08 pm,11.44 pm,11.22 am,0.73,02:33,2.9 m,H,,,5,6.51 am,6.57 pm,NIL,11.53 am,0.69,03:24,2.6 m,H,,,,,,,,,21:35,0.8 m,L,,,,,,,,,21:56,1.0 m,L
,5,7.09 am,7.12 pm,5.54 pm,5.33 am,0.95,04:09,1.8 m,L,,,,,,,,,05:09,1.6 m,L,,,,,,,,,10:16,2.6 m,H,,,5,7.04 am,7.12 pm,6.40 pm,6.19 am,0.98,04:58,1.0 m,L,,,5,6.57 am,7.07 pm,6.49 pm,6.21 am,0.99,04:52,0.6 m,L,,,5,6.58 am,7.09 pm,8.28 pm,7.48 am,1,05:28,0.0 m,L,,,5,7.04 am,7.16 pm,9.21 pm,8.44 am,0.98,06:07,0.1 m,L,,,,,,,,,07:48,0.0 m,L,,,,,,,,,08:43,0.8 m,L,,,,,,,,,08:39,1.5 m,L,,,5,6.47 am,6.51 pm,12.42 am,1.10 pm,0.57,05:01,2.3 m,H,,,5,6.54 am,6.57 pm,12.50 am,1.11 pm,0.56,05:07,2.4 m,H
,,,,,,,09:41,2.9 m,H,,,,,,,,,10:56,2.9 m,H,,,,,,,,,16:50,0.6 m,L,,,,,,,,,10:58,2.8 m,H,,,,,,,,,11:13,2.7 m,H,,,,,,,,,12:52,2.6 m,H,,,,,,,,,13:37,2.6 m,H,,,,,,,,,14:22,2.7 m,H,,,,,,,,,14:24,2.8 m,H,,,,,,,,,14:03,2.8 m,H,,,,,,,,,09:26,1.9 m,L,,,,,,,,,10:03,1.9 m,L
,,,,,,,16:35,0.6 m,L,,,,,,,,,17:33,0.5 m,L,,,,,,,,,23:48,2.5 m,H,,,,,,,,,17:24,0.6 m,L,,,,,,,,,17:11,0.9 m,L,,,,,,,,,17:54,1.3 m,L,,,,,,,,,18:33,1.4 m,L,,,,,,,,,19:58,0.9 m,L,,,,,,,,,20:58,0.4 m,L,,,,,,,,,21:09,0.5 m,L,,,,,,,,,14:50,2.5 m,H,,,,,,,,,15:35,2.5 m,H
,,,,,,,23:54,2.7 m,H,,,6,7.17 am,7.21 pm,7.56 pm,7.36 am,1,00:41,2.7 m,H,,,6,7.14 am,7.19 pm,6.37 pm,6.18 am,0.97,04:56,1.4 m,L,,,,,,,,,23:20,2.7 m,H,,,,,,,,,22:54,2.8 m,H,,,,,,,,,23:33,3.0 m,H,,,6,7.04 am,7.16 pm,10.17 pm,9.44 am,0.93,00:15,3.1 m,H,,,6,7.06 am,7.16 pm,11.25 pm,11.01 am,0.79,01:48,3.1 m,H,,,6,7.00 am,7.08 pm,NIL,12.14 pm,0.63,03:31,2.6 m,H,,,6,6.51 am,6.56 pm,12.15 am,12.47 pm,0.59,04:22,2.3 m,H,,,,,,,,,22:45,1.0 m,L,,,,,,,,,22:56,1.2 m,L
,6,7.09 am,7.12 pm,6.46 pm,6.25 am,0.98,04:46,1.8 m,L,,,,,,,,,05:39,1.5 m,L,,,,,,,,,10:48,2.7 m,H,,,6,7.04 am,7.12 pm,7.23 pm,7.00 am,1,05:26,0.8 m,L,,,6,6.57 am,7.07 pm,7.41 pm,7.10 am,1,05:20,0.4 m,L,,,6,6.58 am,7.10 pm,9.32 pm,8.52 am,0.97,06:15,0.0 m,L,,,,,,,,,07:03,0.1 m,L,,,,,,,,,08:35,0.2 m,L,,,,,,,,,09:15,1.1 m,L,,,,,,,,,09:07,1.7 m,L,,,6,6.47 am,6.51 pm,1.29 am,1.54 pm,0.47,06:46,2.2 m,H,,,6,6.54 am,6.57 pm,1.30 am,1.51 pm,0.46,06:00,2.4 m,H
,,,,,,,10:22,2.9 m,H,,,,,,,,,11:28,2.9 m,H,,,,,,,,,17:20,0.5 m,L,,,,,,,,,11:30,2.8 m,H,,,,,,,,,11:54,2.7 m,H,,,,,,,,,13:45,2.6 m,H,,,,,,,,,14:24,2.7 m,H,,,,,,,,,14:54,2.7 m,H,,,,,,,,,14:54,2.7 m,H,,,,,,,,,14:35,2.7 m,H,,,,,,,,,10:39,2.0 m,H,,,,,,,,,11:16,1.8 m,L
,,,,,,,17:07,0.5 m,L,,,,,,,,,18:07,0.5 m,L,,,7,7.13 am,7.19 pm,7.19 pm,7.00 am,0.99,00:05,2.6 m,H,,,,,,,,,17:52,0.7 m,L,,,,,,,,,17:41,1.0 m,L,,,,,,,,,18:41,1.4 m,L,,,,,,,,,19:28,1.3 m,L,,,,,,,,,20:45,0.8 m,L,,,,,,,,,21:46,0.5 m,L,,,,,,,,,22:09,0.7 m,L,,,,,,,,,16:03,2.3 m,H,,,,,,,,,16:52,2.3 m,H
,7,7.10 am,7.13 pm,7.37 pm,7.16 am,1,00:28,2.7 m,H,,,7,7.17 am,7.21 pm,8.39 pm,8.20 am,0.99,01:01,2.7 m,H,,,,,,,,,05:22,1.2 m,L,,,,,,,,,23:37,2.8 m,H,,,,,,,,,23:22,2.9 m,H,,,7,6.58 am,7.10 pm,10.34 pm,9.57 am,0.91,00:16,3.1 m,H,,,7,7.04 am,7.16 pm,11.09 pm,10.40 am,0.85,01:05,3.1 m,H,,,7,7.06 am,7.16 pm,NIL,11.50 am,0.69,02:43,2.9 m,H,,,7,6.59 am,7.07 pm,12.36 am,1.08 pm,0.53,04:35,2.3 m,H,,,7,6.50 am,6.56 pm,1.09 am,1.40 pm,0.49,05:43,2.1 m,H,,,7,6.47 am,6.51 pm,2.13 am,2.36 pm,0.38,00:09,1.1 m,L,,,7,6.55 am,6.58 pm,2.10 am,2.29 pm,0.37,00:05,1.3 m,L
,,,,,,,05:18,1.8 m,L,,,,,,,,,06:11,1.4 m,L,,,,,,,,,11:16,2.9 m,H,,,7,7.03 am,7.11 pm,8.08 pm,7.42 am,1,05:54,0.6 m,L,,,7,6.57 am,7.07 pm,8.37 pm,8.03 am,0.99,05:54,0.2 m,L,,,,,,,,,07:07,0.0 m,L,,,,,,,,,08:01,0.0 m,L,,,,,,,,,09:16,0.5 m,L,,,,,,,,,09:46,1.4 m,L,,,,,,,,,09:48,1.8 m,L,,,,,,,,,08:03,2.2 m,H,,,,,,,,,06:52,2.4 m,H
,,,,,,,11:00,3.0 m,H,,,,,,,,,12:00,3.0 m,H,,,,,,,,,17:50,0.5 m,L,,,,,,,,,12:01,2.9 m,H,,,,,,,,,12:41,2.7 m,H,,,,,,,,,14:35,2.6 m,H,,,,,,,,,15:09,2.6 m,H,,,,,,,,,15:26,2.6 m,H,,,,,,,,,15:30,2.6 m,H,,,,,,,,,15:11,2.5 m,H,,,,,,,,,12:33,1.9 m,L,,,,,,,,,12:52,1.7 m,L
,,,,,,,17:39,0.5 m,L,,,,,,,,,18:39,0.5 m,L,,,8,7.13 am,7.19 pm,8.01 pm,7.41 am,1,00:16,2.7 m,H,,,,,,,,,18:18,0.7 m,L,,,,,,,,,18:16,1.1 m,L,,,,,,,,,19:31,1.5 m,L,,,,,,,,,20:18,1.2 m,L,,,,,,,,,21:31,0.7 m,L,,,,,,,,,22:48,0.6 m,L,,,,,,,,,23:31,0.9 m,L,,,,,,,,,18:03,2.2 m,H,,,,,,,,,18:39,2.2 m,H
,8,7.10 am,7.13 pm,8.26 pm,8.06 am,0.99,00:58,2.7 m,H,,,8,7.17 am,7.21 pm,9.21 pm,9.01 am,0.97,01:22,2.7 m,H,,,,,,,,,05:52,1.1 m,L,,,8,7.03 am,7.11 pm,8.57 pm,8.28 am,0.98,00:00,2.9 m,H,,,,,,,,,23:54,3.0 m,H,,,8,6.58 am,7.10 pm,11.32 pm,10.58 am,0.84,01:05,3.0 m,H,,,8,7.04 am,7.16 pm,11.58 pm,11.31 am,0.76,01:56,3.1 m,H,,,8,7.06 am,7.16 pm,12.13 am,12.39 pm,0.58,03:45,2.6 m,H,,,8,6.59 am,7.07 pm,1.30 am,2.02 pm,0.43,06:05,2.0 m,H,,,8,6.50 am,6.56 pm,2.00 am,2.29 pm,0.4,08:16,2.1 m,H,,,8,6.47 am,6.51 pm,2.55 am,3.16 pm,0.29,01:37,1.2 m,L,,,8,6.55 am,6.58 pm,2.51 am,3.09 pm,0.28,01:18,1.4 m,L
,,,,,,,05:52,1.7 m,L,,,,,,,,,06:45,1.3 m,L,,,,,,,,,11:46,2.9 m,H,,,,,,,,,06:24,0.5 m,L,,,8,6.57 am,7.07 pm,9.38 pm,9.00 am,0.95,06:31,0.1 m,L,,,,,,,,,08:05,0.0 m,L,,,,,,,,,08:56,0.1 m,L,,,,,,,,,09:56,0.8 m,L,,,,,,,,,10:31,1.7 m,L,,,,,,,,,11:18,2.0 m,H,,,,,,,,,08:45,2.3 m,H,,,,,,,,,07:39,2.5 m,H
,,,,,,,11:35,3.0 m,H,,,,,,,,,12:30,3.0 m,H,,,,,,,,,18:20,0.5 m,L,,,,,,,,,12:39,2.8 m,H,,,,,,,,,13:33,2.7 m,H,,,,,,,,,15:28,2.5 m,H,,,,,,,,,15:48,2.6 m,H,,,,,,,,,16:00,2.6 m,H,,,,,,,,,16:13,2.4 m,H,,,,,,,,,16:24,2.2 m,H,,,,,,,,,14:20,1.7 m,L,,,,,,,,,14:13,1.4 m,L
,,,,,,,18:13,0.5 m,L,,,,,,,,,19:13,0.5 m,L,,,9,7.13 am,7.19 pm,8.43 pm,8.21 am,0.99,00:30,2.7 m,H,,,,,,,,,18:46,0.9 m,L,,,,,,,,,18:54,1.3 m,L,,,,,,,,,20:24,1.5 m,L,,,,,,,,,21:09,1.1 m,L,,,,,,,,,22:26,0.7 m,L,,,9,6.59 am,7.06 pm,2.23 am,2.55 pm,0.33,00:09,0.7 m,L,,,9,6.50 am,6.55 pm,2.49 am,3.16 pm,0.31,01:07,0.9 m,L,,,,,,,,,20:07,2.3 m,H,,,,,,,,,20:18,2.3 m,H
,9,7.11 am,7.13 pm,9.13 pm,8.53 am,0.97,01:28,2.8 m,H,,,9,7.17 am,7.21 pm,10.02 pm,9.42 am,0.92,01:41,2.8 m,H,,,,,,,,,06:22,0.9 m,L,,,9,7.03 am,7.11 pm,9.49 pm,9.17 am,0.93,00:26,2.9 m,H,,,9,6.56 am,7.07 pm,10.41 pm,10.02 am,0.89,00:30,3.0 m,H,,,9,6.58 am,7.10 pm,NIL,11.54 am,0.74,01:58,3.0 m,H,,,9,7.04 am,7.16 pm,NIL,12.20 pm,0.66,02:52,2.9 m,H,,,9,7.06 am,7.16 pm,1.01 am,1.29 pm,0.48,04:52,2.3 m,H,,,,,,,,,08:50,2.0 m,H,,,,,,,,,09:26,2.2 m,H,,,9,6.47 am,6.51 pm,3.35 am,3.55 pm,0.21,02:43,1.1 m,L,,,9,6.56 am,6.59 pm,3.33 am,3.51 pm,0.2,02:20,1.5 m,L
,,,,,,,06:28,1.7 m,L,,,,,,,,,07:16,1.2 m,L,,,,,,,,,12:16,3.0 m,H,,,,,,,,,06:56,0.3 m,L,,,,,,,,,07:13,0.0 m,L,,,,,,,,,09:05,0.1 m,L,,,,,,,,,09:46,0.3 m,L,,,,,,,,,10:37,1.1 m,L,,,,,,,,,12:09,1.9 m,L,,,,,,,,,13:39,1.9 m,L,,,,,,,,,09:11,2.5 m,H,,,,,,,,,08:18,2.7 m,H
,,,,,,,12:09,3.0 m,H,,,,,,,,,13:01,3.0 m,H,,,,,,,,,18:50,0.6 m,L,,,,,,,,,13:20,2.8 m,H,,,,,,,,,14:30,2.6 m,H,,,,,,,,,16:20,2.5 m,H,,,,,,,,,16:30,2.5 m,H,,,,,,,,,16:39,2.5 m,H,,,,,,,,,17:30,2.2 m,H,,,,,,,,,19:33,2.2 m,H,,,,,,,,,15:09,1.4 m,L,,,,,,,,,15:01,1.2 m,L
,,,,,,,18:48,0.5 m,L,,,,,,,,,19:41,0.6 m,L,,,10,7.13 am,7.18 pm,9.26 pm,9.02 am,0.96,00:46,2.8 m,H,,,,,,,,,19:16,1.0 m,L,,,,,,,,,19:35,1.4 m,L,,,,,,,,,21:20,1.5 m,L,,,,,,,,,22:01,1.1 m,L,,,,,,,,,23:31,0.7 m,L,,,10,6.59 am,7.06 pm,3.16 am,3.46 pm,0.24,01:41,0.7 m,L,,,10,6.50 am,6.55 pm,3.34 am,3.59 pm,0.22,02:37,0.9 m,L,,,,,,,,,21:09,2.5 m,H,,,,,,,,,21:31,2.5 m,H
,10,7.11 am,7.14 pm,9.57 pm,9.38 am,0.93,01:58,2.7 m,H,,,10,7.17 am,7.21 pm,10.44 pm,10.22 am,0.87,02:00,2.8 m,H,,,,,,,,,06:54,0.8 m,L,,,10,7.03 am,7.11 pm,10.46 pm,10.10 am,0.87,00:56,3.0 m,H,,,10,6.56 am,7.07 pm,11.43 pm,11.04 am,0.81,01:09,3.0 m,H,,,10,6.59 am,7.10 pm,12.25 am,12.46 pm,0.63,02:56,2.8 m,H,,,10,7.05 am,7.16 pm,12.44 am,1.07 pm,0.55,03:56,2.7 m,H,,,10,7.06 am,7.16 pm,1.51 am,2.21 pm,0.37,06:18,2.1 m,H,,,,,,,,,10:03,2.1 m,H,,,,,,,,,09:56,2.3 m,H,,,10,6.47 am,6.51 pm,4.16 am,4.35 pm,0.14,03:28,1.1 m,L,,,10,6.56 am,6.59 pm,4.18 am,4.37 pm,0.12,03:09,1.5 m,L
,,,,,,,07:01,1.6 m,L,,,,,,,,,07:50,1.2 m,L,,,,,,,,,12:48,3.0 m,H,,,,,,,,,07:30,0.3 m,L,,,,,,,,,08:01,0.1 m,L,,,,,,,,,10:05,0.3 m,L,,,,,,,,,10:37,0.6 m,L,,,,,,,,,11:30,1.4 m,L,,,,,,,,,14:09,1.8 m,L,,,,,,,,,15:22,1.7 m,L,,,,,,,,,09:30,2.6 m,H,,,,,,,,,08:52,2.8 m,H
,,,,,,,12:43,3.0 m,H,,,,,,,,,13:35,2.9 m,H,,,,,,,,,19:16,0.7 m,L,,,,,,,,,14:07,2.6 m,H,,,,,,,,,15:26,2.5 m,H,,,,,,,,,17:15,2.4 m,H,,,,,,,,,17:09,2.5 m,H,,,,,,,,,17:28,2.4 m,H,,,,,,,,,20:00,2.2 m,H,,,,,,,,,21:00,2.3 m,H,,,,,,,,,15:43,1.2 m,L,,,,,,,,,15:37,0.9 m,L
,,,,,,,19:24,0.6 m,L,,,,,,,,,20:05,0.7 m,L,,,11,7.12 am,7.18 pm,10.11 pm,9.45 am,0.91,01:07,2.8 m,H,,,,,,,,,19:45,1.2 m,L,,,,,,,,,20:20,1.5 m,L,,,,,,,,,22:22,1.4 m,L,,,,,,,,,23:01,1.0 m,L,,,11,7.06 am,7.15 pm,2.42 am,3.14 pm,0.28,00:50,0.7 m,L,,,11,6.58 am,7.06 pm,4.06 am,4.34 pm,0.17,03:07,0.7 m,L,,,11,6.49 am,6.55 pm,4.17 am,4.40 pm,0.15,03:31,0.8 m,L,,,,,,,,,21:54,2.6 m,H,,,,,,,,,22:28,2.6 m,H
,11,7.11 am,7.14 pm,10.40 pm,10.21 am,0.88,02:26,2.7 m,H,,,11,7.17 am,7.21 pm,11.27 pm,11.03 am,0.79,02:22,2.8 m,H,,,,,,,,,07:24,0.7 m,L,,,11,7.02 am,7.10 pm,11.46 pm,11.08 am,0.79,01:28,2.9 m,H,,,11,6.56 am,7.07 pm,NIL,12.06 pm,0.72,01:54,2.9 m,H,,,11,6.59 am,7.11 pm,1.14 am,1.35 pm,0.52,04:03,2.7 m,H,,,11,7.05 am,7.16 pm,1.30 am,1.54 pm,0.44,05:09,2.4 m,H,,,,,,,,,08:30,2.0 m,H,,,,,,,,,10:39,2.3 m,H,,,,,,,,,10:16,2.4 m,H,,,11,6.47 am,6.51 pm,4.57 am,5.16 pm,0.08,04:03,1.1 m,L,,,11,6.57 am,6.59 pm,5.07 am,5.27 pm,0.06,03:46,1.6 m,L
